removal_fraction,remaining_giant_component_ratio,model_name,trial_id
0.1,1.0,Cog-HON,2
0.2,0.75,Cog-HON,2
0.3,0.75,Cog-HON,2
0.4,0.5,Cog-HON,2
0.5,0.5,Cog-HON,2
0.6,0.5,Cog-HON,2
0.7,0.25,Cog-HON,2
0.8,0.25,Cog-HON,2
0.9,0.0,Cog-HON,2
1.0,0.0,Cog-HON,2
0.0,1.0,Cog-HON,3
0.1,1.0,Cog-HON,3
0.2,0.25,Cog-HON,3
0.3,0.25,Cog-HON,3
0.4,0.25,Cog-HON,3
0.5,0.25,Cog-HON,3
0.6,0.25,Cog-HON,3
0.7,0.25,Cog-HON,3
0.8,0.25,Cog-HON,3
0.9,0.0,Cog-HON,3
1.0,0.0,Cog-HON,3
0.0,1.0,Cog-HON,4
0.1,1.0,Cog-HON,4
0.2,0.75,Cog-HON,4
0.3,0.75,Cog-HON,4
0.4,0.5,Cog-HON,4
0.5,0.5,Cog-HON,4
0.6,0.5,Cog-HON,4
0.7,0.25,Cog-HON,4
0.8,0.25,Cog-HON,4
0.9,0.0,Cog-HON,4
1.0,0.0,Cog-HON,4
